257	168161
275	168165
283	168167
299	168169
324	168189
328	168190
333	168173
363	168177
462	168163
464	168171
466	168175
468	168179
470	168181
472	168182
474	168183
476	168184
593	168187
609	168192
711	161166
713	161165
714	168064
715	168065
729	168066
913	166161
914	166162
915	166163
916	166164
917	166165
918	166166
919	166167
920	166168
921	166169
922	166170
923	166171
924	166172
925	166173
926	166174
927	166175
928	166176
929	166177
931	166178
932	166179
933	166180
934	166181
935	166182
936	166183
937	166184
945	166193
946	166194
947	166195
948	166196
949	166197
950	166198
951	166199
952	166200
953	166201
954	166202
955	166203
956	166204
957	166205
958	166206
959	166207
960	166208
961	166209
963	166210
964	166211
965	166212
966	166213
967	166214
968	166215
969	166216
1025	167167
1040	167161
1041	167162
1042	167163
1043	167164
1044	167165
1045	167166
1046	167168
1047	167169
1048	167170
1049	167171
1050	167172
1051	167173
1052	167174
1053	167175
1054	167176
1055	167177
1056	167178
1057	167179
1058	167180
1059	167181
1060	167182
1061	167183
1062	167184
1063	167185
1064	167186
1065	167187
1066	167188
1067	167189
1068	167190
1069	167191
1070	167192
1071	167193
1072	167209
1073	167210
1074	167211
1075	167212
1076	167213
1077	167214
1078	167216
1079	167217
1080	167218
1081	167219
1082	167220
1083	167221
1084	167222
1085	167223
1086	167224
1087	167225
1088	167226
1089	167227
1090	167228
1091	167229
1092	167230
1093	167231
1094	167232
1095	167233
1096	167234
1097	167235
1098	167236
1099	167237
1100	167238
1101	167239
1102	167240
1103	167241
1105	167215
8208	169092
8211	168067
8212	161170
8213	168068
8214	161172
8216	161174
8217	161175
8220	161176
8221	161177
8226	136042
8229	168069
8230	161173
8231	161164
8240	161235
8242	161228
8243	161229
8245	168070
8251	161249
8364	128254
8451	161230
8453	168071
8457	168072
8470	161237
8481	169089
8544	162241
8545	162242
8546	162243
8547	162244
8548	162245
8549	162246
8550	162247
8551	162248
8552	162249
8553	162250
8554	162251
8555	162252
8560	162161
8561	162162
8562	162163
8563	162164
8564	162165
8565	162166
8566	162167
8567	162168
8568	162169
8569	162170
8592	161251
8593	161252
8594	161250
8595	161253
8598	168073
8599	168074
8600	168075
8601	168076
8712	161202
8719	161199
8721	161198
8725	168077
8729	161127
8730	161204
8733	161216
8734	161222
8735	168078
8736	161207
8739	168079
8741	161206
8743	161196
8744	161197
8745	161201
8746	161200
8747	161210
8750	161211
8756	161224
8757	161223
8758	161195
8759	161203
8765	161215
8776	161214
8780	161213
8786	168080
8800	161217
8801	161212
8804	161220
8805	161221
8806	168081
8807	168082
8814	161218
8815	161219
8853	168146
8857	161209
8869	161205
8895	168083
8978	161208
9312	162217
9313	162218
9314	162219
9315	162220
9316	162221
9317	162222
9318	162223
9319	162224
9320	162225
9321	162226
9322	161012
9323	161013
